title,id,coordinates,source_system_url,image_url,iiif_url
"Ein Gasthaus mit französischer Schrift (Chambres a louer), Ort unbekannt",BibZug_TD_23_01767,"46.4859263228, 9.83364326664",https://n2t.net/ark:/63274/bz1ks76,https://zentralgut.ch/content/BibZug_TD_23_01767/800/0/TD_23_01767.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01767/pages/1/manifest
Zwei Bergsteiger im Hang vor einem markantem Bergpanorama,BibZug_TD_23_01768,"46.4859263228, 9.83364326664",https://n2t.net/ark:/63274/bz1z345,https://zentralgut.ch/content/BibZug_TD_23_01768/800/0/TD_23_01768.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01768/pages/1/manifest
"Kühe vor einer Berghütte, im Hintergrund ein Berggipfel",BibZug_TD_23_01786,,https://n2t.net/ark:/63274/bz1rd18,https://zentralgut.ch/content/BibZug_TD_23_01786/800/0/TD_23_01786.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01786/pages/1/manifest
"Eine Gruppe Wanderer, im Hintergrund ein Berggipfel",BibZug_TD_23_01788,,https://n2t.net/ark:/63274/bz1gw5g,https://zentralgut.ch/content/BibZug_TD_23_01788/800/0/TD_23_01788.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01788/pages/1/manifest
"Ein kleiner Bergsee mit ein paar kleinen Häuschen daneben, Ort unbekannt",BibZug_TD_23_01790,,https://n2t.net/ark:/63274/bz17d0p,https://zentralgut.ch/content/BibZug_TD_23_01790/800/0/TD_23_01790.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01790/pages/1/manifest
Hang zu einem unbekanntem Berggipfel,BibZug_TD_23_01789,,https://n2t.net/ark:/63274/bz1c631,https://zentralgut.ch/content/BibZug_TD_23_01789/800/0/TD_23_01789.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01789/pages/1/manifest
Hang zu einem unbekanntem Berggipfel,BibZug_TD_23_01791,,https://n2t.net/ark:/63274/bz13p8n,https://zentralgut.ch/content/BibZug_TD_23_01791/800/0/TD_23_01791.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01791/pages/1/manifest
"Zwei Esel am Weiden, im Hintergrund mehrere Berggipfel",BibZug_TD_23_01792,,https://n2t.net/ark:/63274/bz1zw59,https://zentralgut.ch/content/BibZug_TD_23_01792/800/0/TD_23_01792.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01792/pages/1/manifest
"Dorfansicht mit einem Reiter im Hintergrund, das Gebäude im Vordergrund ist vermutlich eine (Wirtsc)haft",BibZug_TD_23_01795,,https://n2t.net/ark:/63274/bz1kp8g,https://zentralgut.ch/content/BibZug_TD_23_01795/800/0/TD_23_01795.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01795/pages/1/manifest
"Dorfansicht mit einem Reiter im Hintergrund, das Gebäud im Vordergrund ist vermutlich eine (Wirtsch)aft",BibZug_TD_23_01796,,https://n2t.net/ark:/63274/bz1fw6j,https://zentralgut.ch/content/BibZug_TD_23_01796/800/0/TD_23_01796.jpg,https://zentralgut.ch/api/v1/records/BibZug_TD_23_01796/pages/1/manifest
